CARPETA,Numero de documentos,Nombres de documentos,Número de documentos de tipo video,Nombre de documentos de tipo video,Tamaño (bytes),Tamaño (legible),Formato de video,Numero de subcarpetas,Nombre de subcarpetas,Year,RAW_TITLE,RAW_DIRECTION,RAW_COUNTRY,FOLDER_NAME_TYPE
I Was a Communist for the FBI - Douglas 1951,3,I Was a Communist for the FBI - Douglas 1951.avi; ._I Was a Communist for the FBI - Douglas 1951.avi; I Was a Communist for the FBI - Douglas 1951.srt,2,I Was a Communist for the FBI - Douglas 1951.avi; ._I Was a Communist for the FBI - Douglas 1951.avi,1468030976,1.4 GB,avi,0,No,1951,I Was a Communist for the FBI,Douglas ,,8
Idioterne [1998] DEN Lars Von Trier,2,The Idiots.avi; The Idiots.srt,1,The Idiots.avi,731801600,697.9 MB,avi,0,No,1998,Idioterne,Lars Von Trier,DNK,4
Immortal Beloved [1994] US,11,Beloved.-.FRENCH.-.DivX5.-.AC3.-.CD1.-.Team.AFP.srt; Beloved.-.FRENCH.-.DivX5.-.AC3.-.CD2.-.Team.AFP.srt; Immortal Beloved CD1.srt; Immortal Beloved CD2.srt; Immortal.Beloved.1994.DVDrip.XviD.AC3.5.1CH-WAF.jpg; Immortal.Beloved.1994.DVDrip.XviD.AC3.5.1CH.CD1-WAF.avi; Immortal.Beloved.1994.DVDrip.XviD.AC3.5.1CH.CD1-WAF.sub; Immortal.Beloved.1994.DVDrip.XviD.AC3.5.1CH.CD2-WAF.avi; Immortal.Beloved.1994.DVDrip.XviD.AC3.5.1CH.CD2-WAF.sub; Immortal_Beloved.jpg; Immortal_Beloved_poster.jpg,2,Immortal.Beloved.1994.DVDrip.XviD.AC3.5.1CH.CD1-WAF.avi; Immortal.Beloved.1994.DVDrip.XviD.AC3.5.1CH.CD2-WAF.avi,1469008802,1.4 GB,avi,0,No,1994,Immortal Beloved,,USA,4
Inglorious Basterds [2009] US Quentin Tarantino,5,English.srt; Inglourious.Basterds.2009.1080p.BluRay.H264.AAC-RARBG.mp4; Inglourious.Basterds.2009.1080p.BluRay.H264.AAC-RARBG.nfo; RARBG.com.mp4; RARBG.com.txt,2,Inglourious.Basterds.2009.1080p.BluRay.H264.AAC-RARBG.mp4; RARBG.com.mp4,3130730285,2.9 GB,mp4,0,No,2009,Inglorious Basterds,Quentin Tarantino,USA,4
Inside Out [2015] US,3,Inside.Out.2015.HD-TS.XVID.AC3.HQ.Hive-CM8.avi; Inside.Out.2015.HD-TS.XVID.AC3.HQ.Hive-CM8.srt; ._Inside.Out.2015.HD-TS.XVID.AC3.HQ.Hive-CM8.srt,1,Inside.Out.2015.HD-TS.XVID.AC3.HQ.Hive-CM8.avi,1335773184,1.2 GB,avi,0,No,2015,Inside Out,,USA,4
Into the Wild (2007),5,Into the Wild[2007]DvDrip[Eng]-FXG.srt; ._Into the Wild[2007]DvDrip[Eng]-FXG.srt; Into.The.Wild.2007.1080p.BluRay.x264-FSiHD.ENG.srt; ._Into.The.Wild.2007.1080p.BluRay.x264-FSiHD.ENG.srt; Into.the.Wild.2007.1080p.BluRay.x264.YIFY.mp4,1,Into.the.Wild.2007.1080p.BluRay.x264.YIFY.mp4,2206993588,2.1 GB,mp4,0,No,2007,Into the Wild,,,7
Into the Woods (2014),4,Into.the.Woods.2014.1080p.BluRay.x264.YIFY.mp4; Into.the.Woods.2014.720p.BluRay.x264-SPARKS.srt; ._Into.the.Woods.2014.720p.BluRay.x264-SPARKS.srt; WWW.YTS.RE.jpg,1,Into.the.Woods.2014.1080p.BluRay.x264.YIFY.mp4,1990154477,1.9 GB,mp4,0,No,2014,Into the Woods,,,7
Irreversible [2002] FR Gaspar Noe,2,Irreversible.avi; Irreversibler.srt,1,Irreversible.avi,733304832,699.3 MB,avi,0,No,2002,Irreversible,Gaspar Noe,FRA,4
Ivy -  Wood 1947,2,Ivy -  Wood 1947.avi; ._Ivy -  Wood 1947.avi,2,Ivy -  Wood 1947.avi; ._Ivy -  Wood 1947.avi,940009472,896.5 MB,avi,0,No,1947,Ivy,Wood ,,8
Izgnanie - Zvyagintsev 2007,3,Izgnanie - Zvyagintsev 2007.avi; ._Izgnanie - Zvyagintsev 2007.avi; Izgnanie - Zvyagintsev 2007.srt,2,Izgnanie - Zvyagintsev 2007.avi; ._Izgnanie - Zvyagintsev 2007.avi,1467652096,1.4 GB,avi,0,No,2007,Izgnanie,Zvyagintsev ,,8
Jackie Brown [1997] US Quentin Tarantino,5,Cover.jpg; info.txt; Jackie Brown (1997).mp4; Subtitles.rar; ._Subtitles.rar,1,Jackie Brown (1997).mp4,1465023327,1.4 GB,mp4,0,No,1997,Jackie Brown,Quentin Tarantino,USA,4
Jeanne Dielman,4,"Jeanne Dielman, 23 Quai Du Commerce - Akerman 1975.avi; ._Jeanne Dielman, 23 Quai Du Commerce - Akerman 1975.avi; Jeanne Dielman, 23 Quai Du Commerce - Akerman 1975.srt; ._Jeanne Dielman, 23 Quai Du Commerce - Akerman 1975.srt",2,"Jeanne Dielman, 23 Quai Du Commerce - Akerman 1975.avi; ._Jeanne Dielman, 23 Quai Du Commerce - Akerman 1975.avi",1939695942,1.8 GB,avi,0,No,,Jeanne Dielman,,,1
Johnny O'Clock - Rossen 1947,4,Johnny O'Clock - Rossen 1947.avi; ._Johnny O'Clock - Rossen 1947.avi; Johnny O'Clock - Rossen 1947.srt; ._Johnny O'Clock - Rossen 1947.srt,2,Johnny O'Clock - Rossen 1947.avi; ._Johnny O'Clock - Rossen 1947.avi,734420992,700.4 MB,avi,0,No,1947,Johnny O'Clock,Rossen ,,8
Kill Bill Volumen 1 [2003] US Quentin Tarantino,0,,0,,2780473344,2.6 GB,DVD,1,VIDEO_TS,2003,Kill Bill Volumen 1,Quentin Tarantino,USA,4
Kill Bill Volumen 2 [2004] US Quentin Tarantino,1,Kill.Bill.Vol.2.2004.BRRIp.1.1GB.MkvCage.com.mkv,1,Kill.Bill.Vol.2.2004.BRRIp.1.1GB.MkvCage.com.mkv,1238644327,1.2 GB,mkv,0,No,2004,Kill Bill Volumen 2,Quentin Tarantino,USA,4
Kiss the Blood Off My Hands - Foster 1948,1,Kiss the Blood Off My Hands - Foster 1948.avi,1,Kiss the Blood Off My Hands - Foster 1948.avi,1138524160,1.1 GB,avi,0,No,1948,Kiss the Blood Off My Hands,Foster ,,8
Koroshiya 1 (Ichi the Killer) [2001] JAP Takashi Miike,1,Ichi.The.Killer.2001.720p.BluRay.x264-CiNEFiLE.mkv,1,Ichi.The.Killer.2001.720p.BluRay.x264-CiNEFiLE.mkv,4692887918,4.4 GB,mkv,0,No,2001,Koroshiya 1 (Ichi the Killer),Takashi Miike,JPN,4
Kynodontas (Canine) [2009] Giorgos Lanthimos,3,Dente Canino.avi; Kynodontas.2009.PROPER.DVDRip.XviD.HORiZON-ArtSubs.srt; Pôster.jpg,1,Dente Canino.avi,754962432,720.0 MB,avi,0,No,2009,Kynodontas (Canine),Giorgos Lanthimos,,6
L'auberge espagnole [2002] FR Cédric Klapisch,2,L Auberge Espagnole (2002) 720p BRrip_sujaidr (pimprg).mkv; L Auberge Espagnole (2002) 720p BRrip_sujaidr (pimprg).srt,1,L Auberge Espagnole (2002) 720p BRrip_sujaidr (pimprg).mkv,1171098989,1.1 GB,mkv,0,No,2002,L'auberge espagnole,Cédric Klapisch,FRA,4
L'aîne des Ferchaux - Melville 1963,2,L'aîne des Ferchaux - Melville 1963.avi; ._L'aîne des Ferchaux - Melville 1963.avi,2,L'aîne des Ferchaux - Melville 1963.avi; ._L'aîne des Ferchaux - Melville 1963.avi,833352488,794.7 MB,avi,0,No,1963,L'aîne des Ferchaux,Melville ,,8
L'inconnu Du Lac [2013] FR,1,L'inconnu du Lac.avi,1,L'inconnu du Lac.avi,844582192,805.5 MB,avi,0,No,2013,L'inconnu Du Lac,,FRA,4
L.627 -  Tavernier  1992,3,L.627 -  Tavernier  1992.avi; ._L.627 -  Tavernier  1992.avi; L.627 -  Tavernier  1992.srt,2,L.627 -  Tavernier  1992.avi; ._L.627 -  Tavernier  1992.avi,1438562696,1.3 GB,avi,0,No,1992,L.627,Tavernier  ,,8
La Bestia Debe Morir [1952] ARG Roman Viñoly Barreto,2,La bestia debe morir.avi; ._La bestia debe morir.avi,2,La bestia debe morir.avi; ._La bestia debe morir.avi,735049728,701.0 MB,avi,0,No,1952,La Bestia Debe Morir,Roman Viñoly Barreto,ARG,4
La busca - Fons 1966,2,La busca - Fons 1966.avi; ._La busca - Fons 1966.avi,2,La busca - Fons 1966.avi; ._La busca - Fons 1966.avi,620857550,592.1 MB,avi,0,No,1966,La busca,Fons ,,8
La carcoma,5,La carcoma-Beröringen.mpg; The touch - Beröringen - La carcoma - 1971 - bergman - subt esp CD1.avi; ._The touch - Beröringen - La carcoma - 1971 - bergman - subt esp CD1.avi; The touch - Beröringen - La carcoma - 1971 - bergman - subt esp CD2.avi; ._The touch - Beröringen - La carcoma - 1971 - bergman - subt esp CD2.avi,5,La carcoma-Beröringen.mpg; The touch - Beröringen - La carcoma - 1971 - bergman - subt esp CD1.avi; ._The touch - Beröringen - La carcoma - 1971 - bergman - subt esp CD1.avi; The touch - Beröringen - La carcoma - 1971 - bergman - subt esp CD2.avi; ._The touch - Beröringen - La carcoma - 1971 - bergman - subt esp CD2.avi,3864750080,3.6 GB,avi; mpg,0,No,,La Carcoma,,,1
La carta que nunca fué enviada,4,La carta que nunca fue enviada.avi; ._La carta que nunca fue enviada.avi; La carta que nunca fue enviada.srt; ._La carta que nunca fue enviada.srt,2,La carta que nunca fue enviada.avi; ._La carta que nunca fue enviada.avi,1466988544,1.4 GB,avi,0,No,,La Carta Que Nunca Fué Enviada,,,1
La Comunidad [2000] ES Alex de la Iglesia,2,La comunidad.mpg; Mes Chers Voisins.srt,1,La comunidad.mpg,521938004,497.8 MB,mpg,0,No,2000,La Comunidad,Alex de la Iglesia,ESP,4
La Cérémonie [1995] FR Claude Chabrol,4,La ceremonia.avi; ._La ceremonia.avi; La ceremonia.srt; ._La ceremonia.srt,2,La ceremonia.avi; ._La ceremonia.avi,1540026368,1.4 GB,avi,0,No,1995,La Cérémonie,Claude Chabrol,FRA,4
La Flor de mi secreto [1995] ES Pedro Almodovar,2,"1995 La flor de mi secreto (659,9 Mo).srt; La Flor de mi secreto.avi",1,La Flor de mi secreto.avi,734474240,700.4 MB,avi,0,No,1995,La Flor de mi secreto,Pedro Almodovar,ESP,4
La Haine [1995] FR,1,La.Haine.avi,1,La.Haine.avi,720832628,687.4 MB,avi,0,No,1995,La Haine,,FRA,4
La Jetee (1970),3,La Jetee (1970) CRITERION 720p BRRiP x264 AAC [Team Nanban].mp4; La Jetee (1970) CRITERION 720p BRRiP x264 AAC [Team Nanban].srt; VISIT ME ON FACEBOOK.txt,1,La Jetee (1970) CRITERION 720p BRRiP x264 AAC [Team Nanban].mp4,154216398,147.1 MB,mp4,2,Others; Screens,1970,La Jetee,,,7
La Ley del deseo [1987] ES Pedro Almodovar,0,,0,,3996778496,3.7 GB,DVD,1,VIDEO_TS,1987,La Ley del deseo,Pedro Almodovar,ESP,4
La maman et la putain,3,La maman et la putain.avi; ._La maman et la putain.avi; La maman et la putain.srt,2,La maman et la putain.avi; ._La maman et la putain.avi,1653989376,1.5 GB,avi,0,No,,La Maman Et La Putain,,,1
La Montaña Sagrada [1973] MEX Jodorowsky,2,The Holy Mountain (1973).rtf; The Holy Mountain (Uncut)(1973) DVDRip (SiRiUs sHaRe).avi,1,The Holy Mountain (Uncut)(1973) DVDRip (SiRiUs sHaRe).avi,1569038336,1.5 GB,avi,0,No,1973,La Montaña Sagrada,Jodorowsky,MEX,4
La Môme [2007] FR Olivier Dahan,1,La.Mome.2007.720p.BluRay.RusAC3.FrenchDTS.mkv,1,La.Mome.2007.720p.BluRay.RusAC3.FrenchDTS.mkv,7498161291,7.0 GB,mkv,0,No,2007,La Môme,Olivier Dahan,FRA,4
La Pequeña Tierra de Dios,3,La Pequeña Tierra de Dios.avi; ._La Pequeña Tierra de Dios.avi; La Pequeña Tierra de Dios.srt,2,La Pequeña Tierra de Dios.avi; ._La Pequeña Tierra de Dios.avi,1257594880,1.2 GB,avi,0,No,,La Pequeña Tierra De Dios,,,1
La Piel que habito [2011] ES Pedro Almodovar,3,La Piel Que Habito.avi; La.peau.que.jhabite.The.Skin.I.Live.In.2011.DVD.R5.Rip.XviD-WDR.srt; ._La.peau.que.jhabite.The.Skin.I.Live.In.2011.DVD.R5.Rip.XviD-WDR.srt,1,La Piel Que Habito.avi,1864691712,1.7 GB,avi,0,No,2011,La Piel que habito,Pedro Almodovar,ESP,4
La piel quemada [1967] ES Forn,2,La piel quemada - Forn 1967.avi; ._La piel quemada - Forn 1967.avi,2,La piel quemada - Forn 1967.avi; ._La piel quemada - Forn 1967.avi,1148616704,1.1 GB,avi,0,No,1967,La piel quemada,Forn,ESP,4
La promesa,2,La promesse.mpg; La promesse.srt,1,La promesse.mpg,1506414592,1.4 GB,mpg,0,No,,La Promesa,,,1
La Ragazza di Bube,3,"La Ragazza di Bube- 1.46'27- 1,45.avi; ._La Ragazza di Bube- 1.46'27- 1,45.avi; La Ragazza di Bube- 1.46'27- 1,45.srt",2,"La Ragazza di Bube- 1.46'27- 1,45.avi; ._La Ragazza di Bube- 1.46'27- 1,45.avi",1566398834,1.5 GB,avi,0,No,,La Ragazza Di Bube,,,1
La Salamandre [1971] SWI Alain Tanner,4,La Salamandre - Tanner 1971 ES.srt; ._La Salamandre - Tanner 1971 ES.srt; La Salamandre - Tanner 1971.avi; ._La Salamandre - Tanner 1971.avi,2,La Salamandre - Tanner 1971.avi; ._La Salamandre - Tanner 1971.avi,1363095594,1.3 GB,avi,0,No,1971,La Salamandre,Alain Tanner,CHE,4
La strategia del ragno,4,La strategia del ragno.avi; ._La strategia del ragno.avi; La strategia del ragno.srt; ._La strategia del ragno.srt,2,La strategia del ragno.avi; ._La strategia del ragno.avi,941626998,898.0 MB,avi,0,No,,La Strategia Del Ragno,,,1
La vida en un hilo [1945] ES Edgar Neville,2,La vida en un hilo - Neville 1945.avi; ._La vida en un hilo - Neville 1945.avi,2,La vida en un hilo - Neville 1945.avi; ._La vida en un hilo - Neville 1945.avi,1128116224,1.1 GB,avi,0,No,1945,La vida en un hilo,Edgar Neville,ESP,4
La vida por delante [1958] ES Fernando Fernán-Gómez,2,La vida por delante - Fernán-Gómez 1958.avi; ._La vida por delante - Fernán-Gómez 1958.avi,2,La vida por delante - Fernán-Gómez 1958.avi; ._La vida por delante - Fernán-Gómez 1958.avi,736897024,702.8 MB,avi,0,No,1958,La vida por delante,Fernando Fernán-Gómez,ESP,4
La Vita é Bella [1997] IT Roberto Benigni,1,La Vita e bella (Divx) Italian with Englsih subtitles.avi,1,La Vita e bella (Divx) Italian with Englsih subtitles.avi,833510848,794.9 MB,avi,0,No,1997,La Vita é Bella,Roberto Benigni,ITA,4
La vénus à la fourrure - Polanski 2013,2,La vénus à la fourrure - Polanski 2013.mpg; La vénus à la fourrure - Polanski 2013.srt,1,La vénus à la fourrure - Polanski 2013.mpg,1312727040,1.2 GB,mpg,0,No,2013,La vénus à la fourrure,Polanski ,,8
La vérité,4,La vérité - Clouzot 1960.avi; ._La vérité - Clouzot 1960.avi; La vérité - Clouzot 1960.srt; ._La vérité - Clouzot 1960.srt,2,La vérité - Clouzot 1960.avi; ._La vérité - Clouzot 1960.avi,1623537664,1.5 GB,avi,0,No,,La Vérité,,,1
Laberinto de Pasiones [1982] ES Pedro Almodovar,1,Laberinto de pasiones.avi,1,Laberinto de pasiones.avi,733734912,699.7 MB,avi,0,No,1982,Laberinto de Pasiones,Pedro Almodovar,ESP,4
Labyrinth [1986] UK Jim Henson,2,Labyrinth.1986.720p.BluRay.x264.YIFY.mp4; Labyrinth.1986.720p.BluRay.x264.YIFY.srt,1,Labyrinth.1986.720p.BluRay.x264.YIFY.mp4,682928086,651.3 MB,mp4,0,No,1986,Labyrinth,Jim Henson,GBR,4
Lady on a Train [1945] Charles David,3,Lady on a Train - David 1945.avi; ._Lady on a Train - David 1945.avi; Lady on a Train - David 1945.srt,2,Lady on a Train - David 1945.avi; ._Lady on a Train - David 1945.avi,1019180956,972.0 MB,avi,0,No,1945,Lady on a Train,Charles David,,6
Land and Freedom [1995] UK Ken Loach,3,Land and Freedom.avi; Land and Freedom.idx; Land and Freedom.sub,1,Land and Freedom.avi,1675255808,1.6 GB,avi,0,No,1995,Land and Freedom,Ken Loach,GBR,4
Las bicicletas son para el verano,2,Las bicicletas son para el verano-1983-Chavarri.avi; ._Las bicicletas son para el verano-1983-Chavarri.avi,2,Las bicicletas son para el verano-1983-Chavarri.avi; ._Las bicicletas son para el verano-1983-Chavarri.avi,1437839360,1.3 GB,avi,0,No,,Las Bicicletas Son Para El Verano,,,1
Laura [1944] US Otto Preminger,3,"Laura (1944) DVDRip (SiRiUs sHaRe).srt; ._Laura (1944) DVDRip (SiRiUs sHaRe).srt; Laura (Otto Preminger, Gene Tierney-1944) (dual ENG-SPA.avi",1,"Laura (Otto Preminger, Gene Tierney-1944) (dual ENG-SPA.avi",1337987072,1.2 GB,avi,0,No,1944,Laura,Otto Preminger,USA,4
Lazzaro Felice,3,Lazzaro felice.rtf; Rohrwacher 2018 - Lazzaro felice.avi; Rohrwacher 2018 - Lazzaro felice.srt,1,Rohrwacher 2018 - Lazzaro felice.avi,2109313442,2.0 GB,avi,0,No,,Lazzaro Felice,,,1
Le beau Serge,1,Le beau Serge.avi,1,Le beau Serge.avi,725479424,691.9 MB,avi,0,No,,Le Beau Serge,,,1
Le choix des armes - Corneau 1981,3,Le choix des armes - Corneau 1981.avi; ._Le choix des armes - Corneau 1981.avi; Le choix des armes - Corneau 1981.srt,2,Le choix des armes - Corneau 1981.avi; ._Le choix des armes - Corneau 1981.avi,734314496,700.3 MB,avi,0,No,1981,Le choix des armes,Corneau ,,8
Le ciel est à vous,4,Le ciel est à vous - Gremillon 1944.avi; ._Le ciel est à vous - Gremillon 1944.avi; Le ciel est à vous - Gremillon 1944.srt; ._Le ciel est à vous - Gremillon 1944.srt,2,Le ciel est à vous - Gremillon 1944.avi; ._Le ciel est à vous - Gremillon 1944.avi,1466768868,1.4 GB,avi,0,No,,Le Ciel Est À Vous,,,1
Le concert [2009] FR Radu Mihailneanu,3,Le concert (2009).avi; Le concert (2009).jpg; Torrent downloaded from Demonoid.com.txt,1,Le concert (2009).avi,742337016,707.9 MB,avi,1,subtitles,2009,Le concert,Radu Mihailneanu,FRA,4
Le Confessionnal,3,GTM - Le confessionnal (1995) - De Robert Lepage - (Film Fr DivX Gay Themed Movie no sexe xxx).avi; ._GTM - Le confessionnal (1995) - De Robert Lepage - (Film Fr DivX Gay Themed Movie no sexe xxx).avi; Le confessionnal - ESP.srt,2,GTM - Le confessionnal (1995) - De Robert Lepage - (Film Fr DivX Gay Themed Movie no sexe xxx).avi; ._GTM - Le confessionnal (1995) - De Robert Lepage - (Film Fr DivX Gay Themed Movie no sexe xxx).avi,795731968,758.9 MB,avi,0,No,,Le Confessionnal,,,1
Le deuxième souffle - Melville 1966,9,Le deuxième souffle - 1966 - Jean Pierre Melville - CD1.avi; ._Le deuxième souffle - 1966 - Jean Pierre Melville - CD1.avi; Le deuxième souffle - 1966 - Jean Pierre Melville - CD1.srt; Le deuxième souffle - 1966 - Jean Pierre Melville - CD2.avi; ._Le deuxième souffle - 1966 - Jean Pierre Melville - CD2.avi; Le deuxième souffle - 1966 - Jean Pierre Melville - CD2.srt; Le deuxième souffle - Melville 1966.mpg; Le deuxième souffle - Melville 1966.srt; ._Le deuxième souffle - Melville 1966.srt,5,Le deuxième souffle - 1966 - Jean Pierre Melville - CD1.avi; ._Le deuxième souffle - 1966 - Jean Pierre Melville - CD1.avi; Le deuxième souffle - 1966 - Jean Pierre Melville - CD2.avi; ._Le deuxième souffle - 1966 - Jean Pierre Melville - CD2.avi; Le deuxième souffle - Melville 1966.mpg,3775420416,3.5 GB,avi; mpg,0,No,1966,Le deuxième souffle,Melville ,,8
Le Doulos - Melville 1961,3,Le Doulos - Melville 1961.avi; ._Le Doulos - Melville 1961.avi; Le Doulos - Melville 1961.srt,2,Le Doulos - Melville 1961.avi; ._Le Doulos - Melville 1961.avi,724230144,690.7 MB,avi,0,No,1961,Le Doulos,Melville ,,8
Le Meraviglie,2,Le.Meraviglie.2014.iTALiAN.DVDRip.XviD-TRL.avi; Le.Meraviglie.2014.iTALiAN.DVDRip.XviD-TRL.srt,1,Le.Meraviglie.2014.iTALiAN.DVDRip.XviD-TRL.avi,2204313600,2.1 GB,avi,0,No,,Le Meraviglie,,,1
Le passé - Farhadi 2013,2,Le passé - Farhadi 2013.avi; ._Le passé - Farhadi 2013.avi,2,Le passé - Farhadi 2013.avi; ._Le passé - Farhadi 2013.avi,1148713506,1.1 GB,avi,0,No,2013,Le passé,Farhadi ,,8
Le Peril Jeune [1994] FR Cedric Klapisch,1,Le Peril Jeune (FR).AVI,1,Le Peril Jeune (FR).AVI,740162560,705.9 MB,avi,0,No,1994,Le Peril Jeune,Cedric Klapisch,FRA,4
Le Trou [1960] FR,3,Le.Trou.[The.Hole].1960.DVDRip.H264.AAC.Gopo.mp4; Le.Trou.[The.Hole].1960.DVDRip.H264.AAC.Gopo.srt; Le.Trou.[The.Hole].1960.DVDRip.H264.AAC.Gopo_EN.srt,1,Le.Trou.[The.Hole].1960.DVDRip.H264.AAC.Gopo.mp4,1937309172,1.8 GB,mp4,1,Sample,1960,Le Trou,,FRA,4
Lejos del cielo,3,Lejos.del.cielo.(Far.from.heaven.2002).(Spanish.English).HDrip.XviD-AC3.by.rodosky.(proteinicos.es).avi; ._Lejos.del.cielo.(Far.from.heaven.2002).(Spanish.English).HDrip.XviD-AC3.by.rodosky.(proteinicos.es).avi; Lejos.del.cielo.(Far.from.heaven.2002).(Spanish.English).HDrip.XviD-AC3.by.rodosky.(proteinicos.es).srt,2,Lejos.del.cielo.(Far.from.heaven.2002).(Spanish.English).HDrip.XviD-AC3.by.rodosky.(proteinicos.es).avi; ._Lejos.del.cielo.(Far.from.heaven.2002).(Spanish.English).HDrip.XviD-AC3.by.rodosky.(proteinicos.es).avi,2154756096,2.0 GB,avi,0,No,,Lejos Del Cielo,,,1
Leon Morin,3,"Jean-Pierre Melville - Léon Morin, prêtre.avi; ._Jean-Pierre Melville - Léon Morin, prêtre.avi; Jean-Pierre Melville - Léon Morin, prêtre.srt",2,"Jean-Pierre Melville - Léon Morin, prêtre.avi; ._Jean-Pierre Melville - Léon Morin, prêtre.avi",728504320,694.8 MB,avi,0,No,,Leon Morin,,,1
Les amants du Pont-Neuf,1,Les amants du Pont-Neuf.avi,1,Les amants du Pont-Neuf.avi,1325145212,1.2 GB,avi,0,No,,Les Amants Du Pont-Neuf,,,1
Les anges du péché,4,Les anges du péché.avi; ._Les anges du péché.avi; Les anges du péché.srt; ._Les anges du péché.srt,2,Les anges du péché.avi; ._Les anges du péché.avi,1557991424,1.5 GB,avi,0,No,,Les Anges Du Péché,,,1
Les espions [1957] H.G. Clouzot,3,Les espions - Clouzot 1957.avi; ._Les espions - Clouzot 1957.avi; Les espions - Clouzot 1957.srt,2,Les espions - Clouzot 1957.avi; ._Les espions - Clouzot 1957.avi,732624896,698.7 MB,avi,0,No,1957,Les espions,H.G. Clouzot,,6
Les fantômes du chapelier [1982] FR Claude Chabrol,2,Les Fantômes du chapelier.avi; Les Fantômes du chapelier.srt,1,Les Fantômes du chapelier.avi,1463693348,1.4 GB,avi,0,No,1982,Les fantômes du chapelier,Claude Chabrol,FRA,4
Les Poupées Russes [2005] FR Cédric Klapisch,1,"Les Poupées Russes (2005), DVDR(xvid), NL Subs, DMT.avi",1,"Les Poupées Russes (2005), DVDR(xvid), NL Subs, DMT.avi",946419712,902.6 MB,avi,0,No,2005,Les Poupées Russes,Cédric Klapisch,FRA,4
Les tontons flingueurs [1963] FR Georges Lautner,2,Les tontons flingueurs - Lautner 1963.mpg; Les tontons flingueurs - Lautner 1963.srt,1,Les tontons flingueurs - Lautner 1963.mpg,1705310208,1.6 GB,mpg,0,No,1963,Les tontons flingueurs,Georges Lautner,FRA,4
Lesbian Vampire Killers [2009] UK Phil Claydon,1,Lesbian vampire killers VOS.avi,1,Lesbian vampire killers VOS.avi,730484736,696.6 MB,avi,0,No,2009,Lesbian Vampire Killers,Phil Claydon,GBR,4
Life of Brian (1979),3,Life.Of.Brian..1979.1080p.BluRay.X264.YIFY.mp4; Life.Of.Brian..1979.1080p.BluRay.X264.YIFY.srt; WWW.YIFY-TORRENTS.COM.jpg,1,Life.Of.Brian..1979.1080p.BluRay.X264.YIFY.mp4,1505376754,1.4 GB,mp4,0,No,1979,Life of Brian,,,7
Life of Pi [2012] US Ang Lee,3,Life.of.Pi.2012.1080p.BRrip.x264.GAZ.YIFY.mp4; Life.of.Pi.2012.1080p.BRrip.x264.GAZ.YIFY.srt; life.of.pi.3D.2012.1080p.bluray.half-sbs.dts.x264-public3d.srt,1,Life.of.Pi.2012.1080p.BRrip.x264.GAZ.YIFY.mp4,2038614404,1.9 GB,mp4,0,No,2012,Life of Pi,Ang Lee,USA,4
Lilya 4-Ever (Lilja 4-Ever) [2002] Lukas Moodysson,2,Lilya 4-Ever [Lilja 4-Ever].2002.DVDRip.XviD.AC3-VLiS.avi; Lilya 4-Ever [Lilja 4-Ever].2002.DVDRip.XviD.AC3-VLiS.srt,1,Lilya 4-Ever [Lilja 4-Ever].2002.DVDRip.XviD.AC3-VLiS.avi,1559988224,1.5 GB,avi,0,No,2002,Lilya 4-Ever (Lilja 4-Ever),Lukas Moodysson,,6
Lola - Fassbinder 1981,4,Lola - Fassbinder 1981.avi; ._Lola - Fassbinder 1981.avi; Lola - Fassbinder 1981.srt; ._Lola - Fassbinder 1981.srt,2,Lola - Fassbinder 1981.avi; ._Lola - Fassbinder 1981.avi,1463015424,1.4 GB,avi,0,No,1981,Lola,Fassbinder ,,8
Lolita [1962] US Stanley Kubrick,0,,0,,4668401664,4.3 GB,DVD,1,VIDEO_TS,1962,Lolita,Stanley Kubrick,USA,4
Los Amantes De Montparnasse,4,Los amantes de Montparnasse 1958 DVDRip Dual.avi; ._Los amantes de Montparnasse 1958 DVDRip Dual.avi; Los amantes de Montparnasse 1958 DVDRip Dual.srt; ._Los amantes de Montparnasse 1958 DVDRip Dual.srt,2,Los amantes de Montparnasse 1958 DVDRip Dual.avi; ._Los amantes de Montparnasse 1958 DVDRip Dual.avi,1887582208,1.8 GB,avi,0,No,,Los Amantes De Montparnasse,,,1
Los cuatro jinetes del Apocalipsis,3,Los Cuatro Jinetes del Apocalipsis.avi; ._Los Cuatro Jinetes del Apocalipsis.avi; Los Cuatro Jinetes del Apocalipsis.srt,2,Los Cuatro Jinetes del Apocalipsis.avi; ._Los Cuatro Jinetes del Apocalipsis.avi,2092273664,1.9 GB,avi,0,No,,Los Cuatro Jinetes Del Apocalipsis,,,1
Los peces rojos,1,Los peces rojos - Nieves Conde 1955.avi,1,Los peces rojos - Nieves Conde 1955.avi,1174939648,1.1 GB,avi,0,No,,Los Peces Rojos,,,1
Los ángeles perdidos - Zinnemann,2,Los ángeles perdidos - Zinnemann.avi; Los ángeles perdidos - Zinnemann.srt,1,Los ángeles perdidos - Zinnemann.avi,1565564928,1.5 GB,avi,0,No,,Los Ángeles Perdidos - Zinnemann,,,1
Lost Highway [2007] US David Lynch,1,Lost HighWay.avi,1,Lost HighWay.avi,1684945736,1.6 GB,avi,0,No,2007,Lost Highway,David Lynch,USA,4
